"filename", "language", "CSS", "JavaScript", "ApexLog", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Notes\NotesPage.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\CreateReccomendation.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\CreateRecommendation.js", "JavaScript", 0, 64, 0, 0, 0, 9, 12, 85
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\EditReccomendation.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\EditRecommendation.js", "JavaScript", 0, 83, 0, 0, 0, 3, 12, 98
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\Recommendations.js", "JavaScript", 0, 42, 0, 0, 0, -4, 5, 43
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\RecommendationsPage.js", "JavaScript", 0, -2, 0, 0, 0, 0, 0, -2
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Tests\NewTest.js", "JavaScript", 0, 76, 0, 0, 0, 4, 7, 87
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Tests\Tests.js", "JavaScript", 0, 135, 0, 0, 0, 0, 16, 151
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Tests\TestsPage.js", "JavaScript", 0, 77, 0, 0, 0, 3, 14, 94
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Tests\questionsData.js", "JavaScript", 0, 192, 0, 0, 0, 0, 2, 194
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\CreateTherapy.js", "JavaScript", 0, 153, 0, 0, 0, 15, 17, 185
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\EditTherapy.js", "JavaScript", 0, 132, 0, 0, 0, 2, 18, 152
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\Therapies.js", "JavaScript", 0, 33, 0, 0, 0, 3, 6, 42
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\TherapiesPage.js", "JavaScript", 0, -2, 0, 0, 0, 0, 1, -1
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\TherapyPage.js", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Users\Patients.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Users\Users.js", "JavaScript", 0, 111, 0, 0, 0, 1, 5, 117
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\index.css", "CSS", 12, 0, 0, 0, 0, 1, -1, 12
"Total", "-", 12, 1931, 102, 103, 1, 67, 252, 2468
