"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "ApexLog", "HTML", "comment", "blank", "total"
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Editor.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 10, 86
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Main\Home.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Main\Layout.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Main\Missing.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Main\NavBar.js", "JavaScript", 50, 0, 0, 0, 0, 0, 2, 10, 62
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Notes\CreateNote.js", "JavaScript", 83, 0, 0, 0, 0, 0, 11, 12, 106
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Notes\EditNote.js", "JavaScript", 79, 0, 0, 0, 0, 0, 2, 13, 94
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Notes\NotePage.js", "JavaScript", 34, 0, 0, 0, 0, 0, 2, 5, 41
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Notes\Notes.js", "JavaScript", 110, 0, 0, 0, 0, 0, 5, 12, 127
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Notes\NotesPage.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\CreateRecommendation.js", "JavaScript", 64, 0, 0, 0, 0, 0, 9, 12, 85
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\EditRecommendation.js", "JavaScript", 83, 0, 0, 0, 0, 0, 3, 12, 98
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\RecommendationPage.js", "JavaScript", 37, 0, 0, 0, 0, 0, 1, 5, 43
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\Recommendations.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 15, 141
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Recommendations\RecommendationsPage.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Tests\NewTest.js", "JavaScript", 76, 0, 0, 0, 0, 0, 4, 7, 87
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Tests\Tests.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 16, 151
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Tests\TestsPage.js", "JavaScript", 77, 0, 0, 0, 0, 0, 3, 14, 94
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Tests\questionsData.js", "JavaScript", 192, 0, 0, 0, 0, 0, 0, 2, 194
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\CreateTherapy.js", "JavaScript", 153, 0, 0, 0, 0, 0, 15, 18, 186
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\EditTherapy.js", "JavaScript", 132, 0, 0, 0, 0, 0, 2, 19, 153
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\Therapies.js", "JavaScript", 125, 0, 0, 0, 0, 0, 7, 16, 148
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\TherapiesPage.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Therapies\TherapyPage.js", "JavaScript", 41, 0, 0, 0, 0, 0, 1, 6, 48
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Users\Admin.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Users\Patients.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\components\Users\Users.js", "JavaScript", 170, 0, 0, 0, 0, 0, 1, 13, 184
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\context\AuthProvider.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\hooks\UseAuth.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\hooks\UseAxiosPrivate.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\hooks\userRefreshToken.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\index.css", "CSS", 0, 212, 0, 0, 0, 0, 1, 37, 250
"c:\Users\Lenovo\saitynams_fe\react_register_form-main\src\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 1, 19
"Total", "-", 3198, 212, 112, 27271, 102, 17, 116, 493, 31521
